Alumni_ID,Age,Gender,Graduation_Year,Degree_Level,Major,Alumni_Status,Email_Available,Phone_Available,Wealth_Rating,Income_Bracket,Event_Attendance,Email_Open_Rate,Location,Consecutive_Giving_Years,Donation_Last_Year_2024,Total_Lifetime_Giving,Is_Donor_2025
ALM000001,52,Male,1973,Bachelor,Education,Inactive,Yes,Yes,C,<$50K,6,42.75,"Houston, USA",13,66.16,1025.7,Yes
ALM000002,42,Male,2023,Master,Business,Inactive,Yes,Yes,B,$100K-$150K,0,33.97,"Nottingham, UK",4,1326.32,6355.61,No
ALM000003,54,Male,1973,Bachelor,Business,Active,Yes,Yes,C,$50K-$100K,0,28.91,"Portland, USA",17,57.23,1106.37,Yes
ALM000004,67,Male,1997,Master,Law,Lost Contact,Yes,Yes,B+,>$500K,4,40.08,"Quebec City, Canada",0,0.0,0.0,Yes
ALM000005,41,Female,1972,Bachelor,Liberal Arts,Inactive,Yes,Yes,B+,$50K-$100K,4,11.41,"Shenzhen, China",0,0.0,0.0,No
ALM000006,41,Male,1973,Master,Liberal Arts,Lost Contact,Yes,Yes,C,$250K-$500K,3,28.56,"Austin, USA",0,0.0,0.0,No
ALM000007,68,Male,1987,Professional,Education,Active,No,No,C,$150K-$250K,0,20.6,"Nanjing, China",0,0.0,0.0,Yes
ALM000008,56,Female,2016,Bachelor,Engineering,Active,No,Yes,B+,$250K-$500K,3,10.28,"Chandigarh, India",12,559.56,7046.63,Yes
ALM000009,37,Male,2009,Master,Education,Active,No,No,C+,$50K-$100K,0,17.95,"Thoothukudi, India",0,0.0,0.0,No
ALM000010,53,Female,2024,Bachelor,Engineering,Inactive,Yes,Yes,D,$50K-$100K,2,8.36,"Perth, Australia",0,0.0,0.0,No
ALM000011,38,Female,2023,Bachelor,Business,Active,Yes,No,C,$100K-$150K,3,52.99,"Tirunelveli, India",0,0.0,0.0,No
ALM000012,38,Male,2008,Master,Business,Active,Yes,Yes,C,<$50K,0,27.36,"Houston, USA",25,236.65,5212.37,Yes
